지역,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
종로구,85,89,130,149,172,220,229,243,261,279,292,307
중구,81,90,93,112,150,174,246,294,317,334,354,365
용산구,110,115,111,149,193,242,289,306,313,328,332,332
성동구,171,185,197,212,226,261,287,317,332,344,351,367
광진구,60,76,89,105,125,168,182,189,190,191,205,221
동대문구,70,73,89,102,128,225,244,257,263,279,284,295
중랑구,66,71,112,136,160,201,227,246,254,257,279,282
성북구,100,108,120,123,161,224,232,234,250,256,261,262
강북구,62,64,68,89,95,129,147,149,145,154,160,163
도봉구,57,71,76,88,90,127,191,217,265,290,298,302
노원구,123,132,137,144,162,245,279,295,305,312,321,332
은평구,48,57,,93,104,137,155,162,179,182,184,185
서대문구,80,93,77,115,159,182,157,162,185,190,190,206
마포구,115,118,134,144,219,263,307,321,326,328,358,365
양천구,69,77,83,83,101,169,206,211,213,214,217,218
강서구,78,84,87,84,135,194,221,231,237,244,253,266
구로구,80,99,100,110,134,194,231,264,281,318,325,335
금천구,28,29,30,30,36,61,98,108,115,113,119,126
영등포구,106,107,126,136,149,208,228,242,250,258,322,339
동작구,77,79,81,81,89,112,130,134,141,150,155,295
관악구,47,56,67,84,93,138,188,195,210,214,217,226
서초구,82,84,89,124,130,194,223,236,245,255,247,272
강남구,102,105,120,142,159,240,280,285,292,310,314,330
송파구,67,65,67,81,115,190,225,245,252,258,270,277
강동구,67,71,76,86,125,188,202,226,233,235,236,241
중부공원녹지사업소,,4,,4,4,4,4,5,6,6,6,6
안전총괄본부,25,22,,24,24,24,24,24,24,24,24,23
