"기준_년월_코드","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"201707","13182","백제고분로34길","10","","2","","","2","","","","","","","","","","","","","","2"
"201707","12524","용마산로_G","6","","","","","","1","","","","","","","","","","","","","3"
"201707","13601","통일로_M","22","1","1","","2","2","","","","","","","","","2","","","","","3"
"201707","12273","망우로32길","10","","","","","2","1","","","","","","","","","","","","",""
"201707","13255","양재대로55길","16","","1","","","2","","","","","","","1","","","","","","","4"
"201707","12144","중랑역로_D","11","1","","","","2","","","","","","","","","1","","","","","4"
"201707","13617","능동로13길","4","","","","","1","","","","","","","","","1","","","","",""
"201707","12384","왕십리로_A","13","","1","","","1","","","","","","","","","1","","","","","2"
"201707","12470","화곡로_A","6","","","","","1","","","","","","","1","","","","","","",""
"201707","12086","동일로192길","12","1","","","","","1","","","","","","","","","","","","","4"
"201707","12659","마포대로14길","14","4","1","","","1","","","","","","","","","1","","","","","3"
"201707","11947","당산로44길","10","","","","","1","","","","","","","1","","","","","","","1"
"201707","12404","아리수로93길","27","3","1","","","4","","","","","","","","","","","","","","4"
"201707","12800","가로공원로76길_A","11","","1","","","2","","","","","","","","","1","","","","","3"
"201707","12444","전농로_B","8","","","","","","","","","","","","","","2","","","","","2"
"201707","13046","고척로40길","5","1","","","","1","","","","","","","","","","","","","",""
"201707","12521","공항대로41길_A","12","","1","","","1","","","","","","","1","","","","","","","2"
"201707","12264","이문로","5","","","","","1","","","","","","","","","1","","","","","1"
"201707","13419","독산로85길","9","","","","","2","","","","","","","","","","","","","",""
"201707","12506","다산로_E","1","","","","","","","","","","","","","","","","","","",""
"201707","13152","삼성로64길","4","","","","","1","","","","","","","","1","","","","","","2"
"201707","12609","구천면로41길","20","","","","","6","","","","","","","","","","","","","","2"
"201707","13360","남부순환로_F","15","","","","","4","1","","","","","","","","","","","","","2"
"201707","13261","구로동로_C","10","","","","","2","","","","","","","","","3","","","","","1"
"201707","12864","성안로_D","4","","","","","1","","","","","","","","","","","","","","2"
"201707","13176","공원로","16","2","1","","","2","","","","","","","","","","","","","","8"
"201707","13379","방배천로16길","2","","","","","","","","","","","","1","","1","","","","",""
"201707","12268","아리랑로_B","5","","","","","","","","","","","","","","1","","","","","2"
"201707","13146","여의대방로22길","6","2","","","","","","","","","","","","","","","","","","3"
"201707","12211","증산로15길","9","","","","","2","","","","","","","","","","","","","","3"
"201707","12110","보국문로_A","12","","1","","","2","","","","","","","","","","","","","","4"
"201707","12539","다산로_F","7","","","","","1","","","","","","","","","","","","","","1"
"201707","13638","백제고분로48길","17","1","1","","","1","","","","","","","","","","","","","","3"
"201707","12332","금낭화로_C","13","","1","","","2","","","","","","","","","","","","","","4"
"201707","13058","상도로_B","6","","","","1","2","","","","","","","","","","","","","","1"
"201707","12583","자양로43길","27","","1","","","5","","","","","","","1","","","","","","","5"
"201707","13186","개봉로17길","18","","1","","","3","","","","","","","1","","1","","","","","5"
"201707","12063","갈현로_A","10","","","","","2","","","","","","","","","","","","","","4"
"201707","12694","양평로_B","3","","","","","1","1","","","","","","","","","","","","",""
"201707","13385","강남대로30길","2","","","","","1","","","","","","","","","","","","","",""
"201707","13187","동남로18길_A","7","","","","","","1","","","","","","1","","","","","","","1"
"201707","13045","백제고분로33길","7","","","","1","2","","","","","","","","","1","","","","","2"
"201707","11984","도봉로145길","12","","","","","1","","","","","","","","","","","","","","1"
"201707","12735","양재대로124길","1","","","","","1","","","","","","","","","","","","","",""
"201707","13170","신반포로_C","1","","","","","","","","","","","","","","","","","","",""
"201707","12734","한림말3길","6","","1","","","","","","","","","","","","","","","","1","3"
"201707","13067","상도로15길","4","","","","","1","","","","","","","","","1","","","","","2"
"201707","12677","화곡로_F","16","","","","","","","","","","","","","","13","","","","","2"
"201707","13163","서초중앙로29길","3","1","","","","","","","","","","","","","","","","","",""
"201707","12853","양재대로89길","2","","","","","1","","","","","","","","","","","","","",""
"201707","12188","은평로_C","2","","","","","","1","","","","","","","","","","","","",""
"201707","12588","동호로_A","7","1","","","","1","","","","","","","","","","","","","","1"
"201707","13497","시흥대로50길","6","","","","","1","","","","","","","","","","","","","","4"
"201707","13291","오류로8길_C","8","","","","","2","1","","","","","","","","","","","","","2"
"201707","13140","대림로_B","2","","","","","1","","","","","","","","","","","","","","1"
"201707","13387","디지털로_B","2","","","","","","","","","","","","","","1","","","","","1"
"201707","12026","삼양로144길","2","","","","","","","","","","","","","","","","","","","2"
"201707","12143","화랑로_C","1","","","","","","","","","","","","","","","","","","","1"
"201707","12747","등촌로_D","2","","","","","","","","","","","","","","","","","","","1"
"201707","12991","선릉로132길","3","","","","","","","","","","","","","","","","","","","2"
"201707","12548","까치산로_A","1","","","","","","","","","","","","","","","","","","","1"
"201707","12255","동소문로_G","7","","","","","2","","","","","","","","","","","","","",""
"201707","12558","고덕로10길","8","","","","","1","","","","","","","","","2","","","","",""
"201707","12704","천중로52길","4","","","","","1","","","","","","","","","","","","","","1"
"201707","12901","신월로_A","15","","1","","","4","","","","","","","","","","","","","","4"
"201707","12908","신월로_B","11","","1","","","2","","","","","","","","","","","","","","2"
"201707","12856","신정중앙로_A","13","","","","","2","","","","","","","","","","","","","",""
"201707","13615","응암로13길_B","8","","1","","","1","","","","","","","","","","","","","","1"
"201707","12441","마장로31길","8","1","1","","","2","","","","","","","","1","","","","","","1"
"201707","13589","백제고분로_K","2","","","","","1","","","","","","","","","","","","","",""
"201707","13510","신촌로_E","13","","1","","","1","","","","","","","","","","","","","","5"
"201707","12639","구천면로100길","2","","","","","","","","","","","","","","","","","","",""
"201707","12062","연서로29길","3","","","","","1","","","","","","","","","","","","","","1"
"201707","12051","동일로203가길","17","","1","","","3","","","","","","","","","","","","","","3"
"201707","11957","도봉로181길_A","1","","","","","1","","","","","","","","","","","","","",""
"201707","12169","용마산로115길_B","3","","","","","","1","","","","","","","","1","","","","",""
"201707","12834","양재대로96길","2","","","","","","1","","","","","","","","","","","","",""
"201707","13025","봉은사로68길","1","","","","","","","","","","","","","","1","","","","",""
"201707","12964","영중로_C","1","","","","","","","","","","","","","","","","","","","1"
"201707","12962","버드나루로_B","2","","","","","","","","","","","","","","","","","","","2"
"201707","12743","천호대로170길_A","3","","","","","","","","","","","","","","","","","","","3"
"201707","13391","새말로17길","1","","","","","","","","","","","","","","","","","","","1"
"201707","11981","방학로10길","1","","","","","","","","","","","","","","","","","","","1"
"201707","13188","오금로_A","5","","","","","2","","","","","","","","","","","","","","1"
"201707","13532","마천로51길","2","","","","","1","","","","","","","","","","","","","",""
"201707","12203","망우로_F","13","2","","","","2","","","","","","","","","1","","","","","2"
"201707","13039","논현로_B","23","1","1","","2","3","","","","","","","","","3","","","","","3"
