"기준 년월 코드","상권 코드","서비스 업종 코드","서비스 업종 코드명","점포 수","유사 업종 점포 수","개업율","개업 점포 수","폐업률","폐업 점포 수","상권 코드명"
"201706","13651","CS300011","화장품","3","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300010","문구점","2","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300009","약국","7","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300008","패션잡화","5","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300007","의류점","4","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300006","과일채소","2","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300005","정육점","4","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300004","휴대폰","6","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300003","컴퓨터판매수리","2","0","0","0","0","0","도봉로152가길"
"201706","13651","CS300002","편의점","30","1","100","1","0","0","도봉로152가길"
"201706","13651","CS300001","슈퍼마켓","14","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200022","자동차미용","1","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200021","자동차수리","12","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200020","세탁소","21","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200019","여관업","9","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200018","피부관리실","7","1","0","0","0","0","도봉로152가길"
"201706","13651","CS200017","네일숍","3","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200016","미용실","78","3","0","0","0","0","도봉로152가길"
"201706","13651","CS200010","노래방","10","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200009","인테리어","15","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200008","부동산중개업","16","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200007","보육시설","5","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200006","일반의원","6","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200005","한의원","3","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200004","치과의원","4","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200003","예체능학원","7","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200002","외국어학원","1","0","0","0","0","0","도봉로152가길"
"201706","13651","CS200001","입시보습학원","1","0","0","0","0","0","도봉로152가길"
"201706","13651","CS100010","호프간이주점","36","1","0","0","0","0","도봉로152가길"
"201706","13651","CS100009","커피음료","23","2","0","0","0","0","도봉로152가길"
"201706","13651","CS100008","제과점","8","0","0","0","0","0","도봉로152가길"
"201706","13651","CS100007","치킨집","17","1","0","0","0","0","도봉로152가길"
"201706","13651","CS100006","패스트푸드점","6","0","0","0","0","0","도봉로152가길"
"201706","13651","CS100005","분식집","25","1","0","0","0","0","도봉로152가길"
"201706","13651","CS100004","양식집","5","0","0","0","0","0","도봉로152가길"
"201706","13651","CS100003","일식집","11","2","0","0","0","0","도봉로152가길"
"201706","13651","CS100002","중국집","8","1","0","0","50","1","도봉로152가길"
"201706","13651","CS100001","한식음식점","146","20","5","1","0","0","도봉로152가길"
"201706","13650","CS300011","화장품","23","0","0","0","0","0","통일로69길"
"201706","13650","CS300010","문구점","9","0","0","0","0","0","통일로69길"
"201706","13650","CS300009","약국","19","0","0","0","0","0","통일로69길"
"201706","13650","CS300008","패션잡화","61","0","0","0","0","0","통일로69길"
"201706","13650","CS300007","의류점","30","0","0","0","0","0","통일로69길"
"201706","13650","CS300006","과일채소","7","0","0","0","0","0","통일로69길"
"201706","13650","CS300005","정육점","11","0","0","0","0","0","통일로69길"
"201706","13650","CS300004","휴대폰","14","0","0","0","0","0","통일로69길"
"201706","13650","CS300003","컴퓨터판매수리","2","0","0","0","0","0","통일로69길"
"201706","13650","CS300002","편의점","40","1","0","0","0","0","통일로69길"
"201706","13650","CS300001","슈퍼마켓","43","0","0","0","0","0","통일로69길"
"201706","13650","CS200022","자동차미용","1","0","0","0","0","0","통일로69길"
"201706","13650","CS200021","자동차수리","4","0","0","0","0","0","통일로69길"
"201706","13650","CS200020","세탁소","25","1","0","0","0","0","통일로69길"
"201706","13650","CS200019","여관업","28","2","0","0","0","0","통일로69길"
"201706","13650","CS200018","피부관리실","19","0","0","0","0","0","통일로69길"
"201706","13650","CS200017","네일숍","13","0","0","0","0","0","통일로69길"
"201706","13650","CS200016","미용실","90","7","0","0","0","0","통일로69길"
"201706","13650","CS200011","PC방","6","0","0","0","0","0","통일로69길"
"201706","13650","CS200010","노래방","10","0","0","0","0","0","통일로69길"
"201706","13650","CS200009","인테리어","30","0","0","0","0","0","통일로69길"
"201706","13650","CS200008","부동산중개업","30","0","0","0","0","0","통일로69길"
"201706","13650","CS200007","보육시설","13","0","0","0","0","0","통일로69길"
"201706","13650","CS200006","일반의원","9","0","0","0","0","0","통일로69길"
"201706","13650","CS200005","한의원","17","0","0","0","0","0","통일로69길"
"201706","13650","CS200004","치과의원","21","0","0","0","0","0","통일로69길"
"201706","13650","CS200003","예체능학원","22","0","0","0","0","0","통일로69길"
"201706","13650","CS200002","외국어학원","13","0","0","0","0","0","통일로69길"
"201706","13650","CS200001","입시보습학원","13","0","0","0","0","0","통일로69길"
"201706","13650","CS100010","호프간이주점","54","2","0","0","0","0","통일로69길"
"201706","13650","CS100009","커피음료","66","0","0","0","0","0","통일로69길"
"201706","13650","CS100008","제과점","25","1","0","0","0","0","통일로69길"
"201706","13650","CS100007","치킨집","35","0","0","0","0","0","통일로69길"
"201706","13650","CS100006","패스트푸드점","36","0","0","0","0","0","통일로69길"
"201706","13650","CS100005","분식집","73","3","0","0","0","0","통일로69길"
"201706","13650","CS100004","양식집","27","2","0","0","33.333","1","통일로69길"
"201706","13650","CS100003","일식집","57","3","0","0","0","0","통일로69길"
"201706","13650","CS100002","중국집","14","2","0","0","0","0","통일로69길"
"201706","13650","CS100001","한식음식점","317","18","0","0","0","0","통일로69길"
"201706","13649","CS300011","화장품","7","0","0","0","0","0","율곡로14길"
"201706","13649","CS300010","문구점","25","0","0","0","0","0","율곡로14길"
"201706","13649","CS300009","약국","27","0","0","0","0","0","율곡로14길"
"201706","13649","CS300008","패션잡화","133","0","0","0","0","0","율곡로14길"
"201706","13649","CS300007","의류점","114","0","0","0","0","0","율곡로14길"
"201706","13649","CS300006","과일채소","11","0","0","0","0","0","율곡로14길"
"201706","13649","CS300005","정육점","15","0","0","0","0","0","율곡로14길"
"201706","13649","CS300004","휴대폰","18","0","0","0","0","0","율곡로14길"
"201706","13649","CS300003","컴퓨터판매수리","3","0","0","0","0","0","율곡로14길"
"201706","13649","CS300002","편의점","53","1","0","0","0","0","율곡로14길"
"201706","13649","CS300001","슈퍼마켓","1294","0","0","0","0","0","율곡로14길"
"201706","13649","CS200022","자동차미용","1","0","0","0","0","0","율곡로14길"
"201706","13649","CS200021","자동차수리","11","0","0","0","0","0","율곡로14길"
"201706","13649","CS200020","세탁소","10","0","0","0","0","0","율곡로14길"
"201706","13649","CS200019","여관업","39","1","0","0","0","0","율곡로14길"
"201706","13649","CS200018","피부관리실","9","0","0","0","0","0","율곡로14길"
"201706","13649","CS200017","네일숍","2","0","0","0","0","0","율곡로14길"
"201706","13649","CS200016","미용실","43","1","0","0","0","0","율곡로14길"
"201706","13649","CS200012","당구장","8","0","0","0","0","0","율곡로14길"
"201706","13649","CS200011","PC방","3","0","0","0","0","0","율곡로14길"
"201706","13649","CS200010","노래방","8","0","0","0","0","0","율곡로14길"
"201706","13649","CS200009","인테리어","175","0","0","0","0","0","율곡로14길"
"201706","13649","CS200008","부동산중개업","48","0","0","0","0","0","율곡로14길"
"201706","13649","CS200007","보육시설","5","0","0","0","0","0","율곡로14길"
"201706","13649","CS200006","일반의원","6","0","0","0","0","0","율곡로14길"
"201706","13649","CS200005","한의원","38","0","0","0","0","0","율곡로14길"
"201706","13649","CS200004","치과의원","19","0","0","0","0","0","율곡로14길"
"201706","13649","CS200003","예체능학원","12","0","0","0","0","0","율곡로14길"
"201706","13649","CS200002","외국어학원","1","0","0","0","0","0","율곡로14길"
"201706","13649","CS200001","입시보습학원","7","0","0","0","0","0","율곡로14길"
"201706","13649","CS100010","호프간이주점","34","0","0","0","0","0","율곡로14길"
"201706","13649","CS100009","커피음료","131","2","0","0","0","0","율곡로14길"
"201706","13649","CS100008","제과점","20","0","0","0","0","0","율곡로14길"
"201706","13649","CS100007","치킨집","18","0","0","0","0","0","율곡로14길"
"201706","13649","CS100006","패스트푸드점","25","0","0","0","0","0","율곡로14길"
"201706","13649","CS100005","분식집","132","4","0","0","0","0","율곡로14길"
"201706","13649","CS100004","양식집","60","2","0","0","0","0","율곡로14길"
"201706","13649","CS100003","일식집","56","0","0","0","0","0","율곡로14길"
"201706","13649","CS100002","중국집","13","1","0","0","0","0","율곡로14길"
"201706","13649","CS100001","한식음식점","520","11","0","0","0","0","율곡로14길"
"201706","13648","CS300011","화장품","20","0","0","0","0","0","장한로21길"
"201706","13648","CS300010","문구점","16","0","0","0","0","0","장한로21길"
